episode,timestep,reward,episode_length
963,19360,1.0,15.8
968,19440,1.0,15.0
972,19520,1.0,20.0
976,19600,1.0,18.25
982,19680,1.0,14.8333
987,19760,1.0,16.0
992,19840,1.0,15.6
997,19920,1.0,15.2
1003,20000,1.0,15.0
1008,20080,1.0,14.2
1012,20160,1.0,19.25
1017,20240,1.0,14.4
1022,20320,1.0,17.8
1027,20400,1.0,16.8
1032,20480,1.0,14.2
1036,20560,1.0,21.25
1041,20640,1.0,16.0
1045,20720,1.0,18.0
1051,20800,1.0,14.6667
1057,20880,1.0,14.5
1062,20960,1.0,15.0
1067,21040,1.0,14.4
1073,21120,1.0,16.1667
1078,21200,1.0,14.2
1084,21280,1.0,14.8333
1089,21360,1.0,15.4
1094,21440,1.0,14.6
1100,21520,1.0,13.1667
1105,21600,1.0,16.4
1110,21680,1.0,15.4
1116,21760,1.0,14.8333
1121,21840,1.0,15.2
1125,21920,1.0,12.5
1131,22000,0.8333,18.3333
1136,22080,1.0,14.8
1142,22160,1.0,13.3333
1148,22240,1.0,14.5
1153,22320,1.0,15.8
1159,22400,1.0,13.8333
1165,22480,1.0,13.5
1171,22560,1.0,12.6667
1177,22640,1.0,13.5
1183,22720,1.0,13.1667
1189,22800,1.0,14.5
1194,22880,1.0,13.4
1200,22960,1.0,14.0
1206,23040,1.0,14.3333
1211,23120,1.0,14.4
1217,23200,1.0,14.8333
1223,23280,1.0,12.8333
1228,23360,1.0,15.4
1234,23440,1.0,13.5
1240,23520,1.0,14.1667
1245,23600,1.0,14.6
1251,23680,1.0,14.6667
1256,23760,1.0,14.4
1262,23840,1.0,13.6667
1268,23920,1.0,13.3333
1273,24000,1.0,14.6
1279,24080,1.0,13.8333
1283,24160,0.75,20.5
1289,24240,1.0,14.0
1293,24320,1.0,20.0
1297,24400,0.75,19.5
1301,24480,1.0,20.0
1306,24560,1.0,15.0
1311,24640,1.0,16.2
1316,24720,1.0,15.6
1321,24800,1.0,17.2
1327,24880,1.0,14.0
1332,24960,1.0,13.6
1338,25040,1.0,14.8333
1343,25120,1.0,15.2
1349,25200,1.0,14.8333
1354,25280,1.0,13.8
1360,25360,1.0,14.8333
1365,25440,1.0,16.0
1370,25520,1.0,16.2
1374,25600,1.0,13.5
1380,25680,0.8333,17.6667
1385,25760,1.0,15.6
1391,25840,1.0,14.0
1396,25920,1.0,14.0
1401,26000,1.0,17.2
1406,26080,1.0,14.6
1411,26160,1.0,15.2
1417,26240,1.0,14.5
1423,26320,1.0,13.5
1428,26400,1.0,14.8
1434,26480,1.0,14.3333
1439,26560,1.0,16.8
1443,26640,1.0,16.75
1448,26720,1.0,17.4
1453,26800,1.0,16.6
1457,26880,1.0,17.5
1462,26960,1.0,18.6
1467,27040,1.0,16.6
1471,27120,1.0,18.25
1475,27200,1.0,19.75
1479,27280,1.0,21.0
1483,27360,1.0,19.75
1487,27440,1.0,18.5
1492,27520,1.0,17.6
1496,27600,1.0,20.75
1501,27680,1.0,13.4
1505,27760,0.75,21.25
1511,27840,1.0,14.1667
1516,27920,1.0,14.4
1522,28000,1.0,14.3333
1528,28080,1.0,13.5
1533,28160,1.0,15.6
1539,28240,1.0,13.3333
1544,28320,1.0,15.0
1549,28400,1.0,14.6
1555,28480,1.0,15.1667
1561,28560,1.0,14.0
1567,28640,1.0,13.8333
1571,28720,1.0,17.75
1576,28800,1.0,17.0
1582,28880,1.0,13.5
1587,28960,1.0,15.6
1593,29040,1.0,13.6667
1598,29120,1.0,16.0
1603,29200,1.0,15.4
1608,29280,1.0,14.0
1614,29360,1.0,15.0
1620,29440,1.0,13.6667
1626,29520,1.0,14.0
1631,29600,1.0,15.0
1636,29680,1.0,14.6
1641,29760,1.0,15.6
1647,29840,1.0,14.5
1652,29920,1.0,14.8
1658,30000,1.0,14.0
1664,30080,1.0,13.5
1669,30160,1.0,13.6
1675,30240,1.0,15.8333
1680,30320,1.0,14.8
1685,30400,1.0,16.8
1690,30480,1.0,15.4
1696,30560,1.0,14.5
1700,30640,1.0,17.5
1706,30720,1.0,14.1667
1712,30800,1.0,14.5
1716,30880,1.0,12.0
1722,30960,0.8333,17.5
1729,31040,1.0,12.5714
1735,31120,1.0,12.6667
1741,31200,1.0,13.0
1747,31280,1.0,13.8333
1753,31360,1.0,13.8333
1757,31440,1.0,19.25
1763,31520,1.0,13.6667
1769,31600,1.0,13.0
1775,31680,1.0,13.3333
1781,31760,1.0,13.3333
1786,31840,1.0,14.0
1792,31920,1.0,14.3333
1797,32000,1.0,14.8
1803,32080,1.0,14.3333
1807,32160,0.75,21.25
1813,32240,1.0,13.6667
1818,32320,1.0,14.6
1824,32400,1.0,12.8333
1830,32480,1.0,14.1667
1835,32560,1.0,14.8
1840,32640,1.0,15.4
1845,32720,1.0,15.6
1849,32800,0.75,20.25
1854,32880,1.0,16.4
1860,32960,1.0,15.1667
1865,33040,1.0,16.0
1870,33120,1.0,14.8
1875,33200,1.0,15.8
1880,33280,1.0,14.4
1885,33360,1.0,17.0
1890,33440,1.0,16.8
1895,33520,1.0,15.2
1901,33600,1.0,15.3333
1906,33680,1.0,14.4
1912,33760,1.0,13.8333
1917,33840,1.0,16.4
1922,33920,1.0,14.2
1927,34000,1.0,16.6
1933,34080,1.0,14.1667
1938,34160,1.0,14.6
1944,34240,1.0,14.8333
1949,34320,1.0,14.2
1955,34400,1.0,15.0
1960,34480,1.0,15.0
1965,34560,1.0,14.8
1971,34640,1.0,14.1667
1977,34720,1.0,13.3333
1983,34800,1.0,13.5
1989,34880,1.0,13.5
1995,34960,1.0,13.8333
2001,35040,1.0,13.3333
2005,35120,1.0,17.75
2011,35200,1.0,13.3333
2018,35280,1.0,12.8571
2024,35360,1.0,13.1667
2030,35440,1.0,13.3333
2033,35520,0.6667,22.6667
2038,35600,1.0,17.0
2044,35680,1.0,14.6667
2049,35760,1.0,14.2
2054,35840,1.0,15.4
2059,35920,1.0,16.6
2064,36000,1.0,17.8
2070,36080,1.0,13.5
2075,36160,1.0,14.8
2080,36240,1.0,14.6
2086,36320,1.0,14.3333
2091,36400,1.0,15.0
2097,36480,1.0,13.6667
2103,36560,1.0,14.1667
2109,36640,1.0,13.8333
2115,36720,1.0,13.6667
2120,36800,1.0,14.2
2125,36880,1.0,13.2
2131,36960,1.0,15.8333
2137,37040,1.0,13.6667
2143,37120,1.0,12.6667
2149,37200,1.0,13.6667
2155,37280,1.0,13.8333
2161,37360,1.0,14.0
2167,37440,1.0,13.0
2172,37520,1.0,15.0
2177,37600,1.0,15.6
2183,37680,1.0,13.3333
2188,37760,1.0,14.4
2194,37840,1.0,14.8333
2200,37920,1.0,13.6667
2206,38000,1.0,13.5
2212,38080,1.0,13.3333
2218,38160,1.0,14.1667
2223,38240,1.0,14.6
2229,38320,1.0,13.3333
2235,38400,1.0,13.8333
2240,38480,1.0,14.4
2246,38560,1.0,14.8333
2250,38640,1.0,16.5
2255,38720,1.0,18.6
2259,38800,1.0,17.75
2264,38880,1.0,16.2
2269,38960,1.0,17.0
2274,39040,1.0,16.8
2279,39120,1.0,15.6
2284,39200,1.0,15.4
2289,39280,1.0,15.4
2294,39360,1.0,16.8
2298,39440,1.0,17.75
2304,39520,1.0,14.6667
2309,39600,1.0,16.0
2314,39680,1.0,16.4
2319,39760,1.0,15.2
2324,39840,1.0,15.2
2329,39920,1.0,18.4
2333,40000,1.0,18.5
2338,40080,1.0,16.4
2343,40160,1.0,17.0
2348,40240,1.0,16.2
2353,40320,1.0,15.4
2357,40400,1.0,19.25
2362,40480,1.0,15.4
2367,40560,1.0,14.6
2372,40640,1.0,17.0
2376,40720,1.0,22.25
2380,40800,1.0,20.0
2385,40880,1.0,16.2
2389,40960,1.0,16.75
2394,41040,1.0,18.2
2399,41120,1.0,16.0
2402,41200,1.0,27.3333
2407,41280,1.0,14.8
2413,41360,1.0,14.5
2418,41440,1.0,13.8
2424,41520,1.0,15.1667
2429,41600,1.0,15.6
2434,41680,1.0,15.2
2440,41760,1.0,14.3333
2445,41840,1.0,15.0
2450,41920,1.0,15.8
2456,42000,1.0,14.0
2461,42080,1.0,15.6
2466,42160,1.0,15.4
2471,42240,1.0,17.2
2476,42320,1.0,14.4
2482,42400,1.0,14.6667
2487,42480,1.0,14.8
2493,42560,1.0,13.3333
2498,42640,1.0,15.8
2503,42720,1.0,15.4
2509,42800,1.0,13.8333
2515,42880,1.0,14.8333
2521,42960,1.0,13.3333
2526,43040,1.0,14.6
2531,43120,1.0,17.4
2535,43200,1.0,17.5
2541,43280,1.0,15.0
2545,43360,1.0,18.5
2550,43440,1.0,15.4
2555,43520,1.0,15.0
2560,43600,1.0,16.8
2565,43680,1.0,17.4
2570,43760,1.0,15.8
2574,43840,1.0,18.0
2579,43920,1.0,16.4
2584,44000,1.0,16.6
2589,44080,1.0,16.4
2595,44160,1.0,13.6667
2601,44240,1.0,13.0
2606,44320,1.0,15.4
2612,44400,1.0,14.3333
2617,44480,1.0,15.2
2623,44560,1.0,13.3333
2628,44640,1.0,14.6
2634,44720,1.0,13.5
2640,44800,1.0,13.6667
2646,44880,1.0,15.0
2651,44960,1.0,15.0
2656,45040,1.0,15.6
2661,45120,1.0,16.4
2667,45200,1.0,13.8333
2673,45280,1.0,13.6667
2678,45360,1.0,14.4
2684,45440,1.0,13.5
2689,45520,1.0,15.2
2695,45600,1.0,14.8333
2700,45680,1.0,15.0
2706,45760,1.0,13.1667
2711,45840,1.0,15.2
2715,45920,1.0,19.5
2721,46000,1.0,14.3333
2726,46080,1.0,14.4
2731,46160,1.0,16.8
2737,46240,1.0,14.0
2742,46320,1.0,16.6
2747,46400,1.0,17.0
2752,46480,1.0,13.8
2758,46560,1.0,14.0
2764,46640,1.0,14.0
2769,46720,1.0,15.2
2774,46800,1.0,15.4
2780,46880,1.0,13.1667
2787,46960,1.0,12.7143
2792,47040,1.0,15.6
2798,47120,1.0,13.5
2803,47200,1.0,15.0
2809,47280,1.0,12.8333
2815,47360,1.0,13.6667
2820,47440,1.0,15.4
2827,47520,1.0,12.8571
2833,47600,1.0,12.1667
2839,47680,1.0,13.1667
2844,47760,1.0,13.6
2850,47840,1.0,16.8333
