episode,timestep,reward,episode_length
1,80,0.0,40.0
3,160,0.0,40.0
5,240,0.0,40.0
7,320,0.0,40.0
9,400,0.0,40.0
11,480,0.0,40.0
13,560,0.0,40.0
15,640,0.0,40.0
17,720,0.0,40.0
19,800,0.0,40.0
21,880,0.0,40.0
23,960,0.0,40.0
25,1040,0.0,40.0
27,1120,0.0,40.0
29,1200,0.0,40.0
31,1280,0.0,40.0
33,1360,0.0,40.0
35,1440,0.0,40.0
37,1520,0.0,40.0
39,1600,0.0,40.0
41,1680,0.0,40.0
43,1760,0.0,40.0
45,1840,0.0,40.0
47,1920,0.0,40.0
50,2000,0.3333,35.6667
52,2080,0.0,40.0
54,2160,0.0,40.0
56,2240,0.0,40.0
59,2320,1.0,30.0
61,2400,1.0,30.5
64,2480,0.3333,33.3333
66,2560,0.0,40.0
68,2640,1.0,29.5
70,2720,0.5,35.0
73,2800,0.3333,36.0
75,2880,0.5,33.0
78,2960,0.6667,28.3333
81,3040,0.6667,29.0
85,3120,0.75,21.25
88,3200,1.0,16.6667
92,3280,0.75,22.75
95,3360,0.6667,32.6667
99,3440,1.0,20.25
104,3520,1.0,15.4
107,3600,1.0,23.3333
112,3680,1.0,17.4
116,3760,1.0,21.0
122,3840,1.0,13.0
125,3920,1.0,28.0
128,4000,1.0,24.6667
136,4080,1.0,10.875
142,4160,1.0,11.8333
147,4240,1.0,16.6
153,4320,1.0,12.6667
160,4400,1.0,12.2857
167,4480,1.0,11.2857
174,4560,1.0,11.4286
181,4640,1.0,11.1429
189,4720,1.0,10.125
197,4800,1.0,9.625
205,4880,1.0,10.75
212,4960,1.0,10.8571
220,5040,1.0,10.875
228,5120,1.0,9.625
235,5200,1.0,9.7143
244,5280,1.0,10.3333
252,5360,1.0,9.5
261,5440,1.0,9.0
271,5520,1.0,8.2
280,5600,1.0,9.0
288,5680,1.0,9.125
297,5760,1.0,9.5556
306,5840,1.0,8.5556
316,5920,1.0,8.1
327,6000,1.0,7.7273
336,6080,1.0,8.7778
344,6160,1.0,9.375
355,6240,1.0,7.5455
365,6320,1.0,8.2
373,6400,1.0,9.875
382,6480,1.0,8.2222
392,6560,1.0,8.6
400,6640,1.0,9.5
409,6720,1.0,8.4444
419,6800,1.0,8.6
431,6880,1.0,7.0
441,6960,1.0,7.5
451,7040,1.0,8.4
462,7120,1.0,7.0909
471,7200,1.0,8.4444
482,7280,1.0,7.6364
494,7360,1.0,6.6667
503,7440,1.0,8.7778
515,7520,1.0,6.5833
527,7600,1.0,7.0833
539,7680,1.0,6.5833
549,7760,1.0,7.8
559,7840,1.0,8.0
570,7920,1.0,7.3636
582,8000,1.0,6.75
592,8080,1.0,7.5
603,8160,1.0,7.4545
614,8240,1.0,7.1818
625,8320,1.0,7.4545
637,8400,1.0,6.9167
648,8480,1.0,6.7273
661,8560,1.0,6.6154
672,8640,1.0,7.2727
683,8720,1.0,7.2727
693,8800,1.0,7.6
705,8880,1.0,7.0
717,8960,1.0,6.5833
728,9040,1.0,6.9091
740,9120,1.0,6.9167
752,9200,1.0,6.5
764,9280,1.0,6.9167
775,9360,1.0,7.2727
787,9440,1.0,6.6667
797,9520,1.0,7.5
809,9600,1.0,6.8333
822,9680,1.0,6.3077
833,9760,1.0,7.0909
846,9840,1.0,6.4615
857,9920,1.0,7.0909
869,10000,1.0,6.75
879,10080,1.0,7.8
892,10160,1.0,6.2308
903,10240,1.0,7.1818
915,10320,1.0,6.75
927,10400,1.0,6.75
939,10480,1.0,6.5833
951,10560,1.0,6.5833
964,10640,1.0,6.3846
975,10720,1.0,7.0909
987,10800,1.0,6.5833
1000,10880,1.0,6.3077
1011,10960,1.0,6.9091
1023,11040,1.0,6.75
1036,11120,1.0,6.3077
1049,11200,1.0,6.2308
1061,11280,1.0,6.5833
1074,11360,1.0,6.0769
1087,11440,1.0,6.3077
1099,11520,1.0,6.4167
1111,11600,1.0,6.75
1124,11680,1.0,6.3077
1135,11760,1.0,7.3636
1147,11840,1.0,6.4167
1159,11920,1.0,6.8333
1171,12000,1.0,6.5
1182,12080,1.0,7.0909
1194,12160,1.0,6.6667
1207,12240,1.0,6.5385
1219,12320,1.0,6.6667
1231,12400,1.0,6.3333
1242,12480,1.0,7.0
1254,12560,1.0,7.0833
1265,12640,1.0,7.1818
1276,12720,1.0,7.1818
1288,12800,1.0,6.6667
1299,12880,1.0,6.9091
1311,12960,1.0,7.3333
1322,13040,1.0,6.8182
1334,13120,1.0,6.8333
1346,13200,1.0,6.8333
1357,13280,1.0,7.0
1369,13360,1.0,6.5833
1382,13440,1.0,6.3846
1394,13520,1.0,6.5
1406,13600,1.0,6.6667
1419,13680,1.0,6.4615
1431,13760,1.0,6.3333
1444,13840,1.0,6.4615
1456,13920,1.0,6.4167
1468,14000,1.0,6.75
1481,14080,1.0,6.3077
1492,14160,1.0,6.8182
1504,14240,1.0,6.8333
1516,14320,1.0,6.6667
1529,14400,1.0,6.3846
1540,14480,1.0,7.1818
1551,14560,1.0,6.7273
1563,14640,1.0,7.25
1573,14720,1.0,7.3
1584,14800,1.0,7.3636
1596,14880,1.0,6.8333
1608,14960,1.0,6.5833
1620,15040,1.0,6.6667
1632,15120,1.0,6.6667
1645,15200,1.0,6.2308
1658,15280,1.0,6.4615
1670,15360,1.0,6.5833
1682,15440,1.0,6.4167
1694,15520,1.0,6.5
1706,15600,1.0,6.9167
1718,15680,1.0,6.5
